"Compound_ID","Compound_Name","Vendor_ID","Vendor","Smiles","InChI","CAS","Cocktail","Covalent"
"VT00402","3-amino-1lambda6,2-benzothiazole-1,1-dione","EN300-11834 ","Enamine","C1=CC=C2C(=C1)C(=NS2(=O)=O)N",""," 7668-28-2 ","",""
"VT00403","5-amino-1-methyl-1,2-dihydropyridin-2-one","EN300-45114 ","Enamine","CN1C=C(N)C=CC1=O","","33630-96-5 ","",""
"VT00404","3-AMINO-5-METHYLPYRIDINE","EN300-87442","Enamine","CC1=CC(=CN=C1)N","","3430-19-1 ","",""
"VT00405","1,2,3,4-tetrahydroquinazoline-2,4-dione","EN300-17895 ","Enamine","O=C1NC(=O)c2ccccc2N1","","86-96-4 ","",""
"VT00406","benzyldimethylamine","EN300-16212","Enamine","CN(C)CC1=CC=CC=C1","","103-83-3 ","",""
"VT00407","8-chloro-1,2,3,4-tetrahydroisoquinoline","EN300-251855 ","Enamine","C1CNCC2=C1C=CC=C2Cl","","75416-50-1 ","",""
"VT00408","3-chloro-5-methylpyridazine","EN300-181576","Enamine","Cc1cc(Cl)nnc1","","89283-31-8 ","",""
"VT00409","1-(5-chloropyrimidin-2-yl)methanamine hydrochloride","EN300-7417637 ","Enamine","C1=C(C=NC(=N1)CN)Cl.Cl","","1609409-10-0 ","",""
"VT00410","4H,5H,6H-cyclopenta[c][1,2]oxazol-3-amine","EN300-202869 ","Enamine","NC1=C2CCCC2=NO1","","698975-77-8 ","",""
"VT00411","2',3'-dihydrospiro[imidazolidine-4,1'-indene]-2,5-dione","EN300-04401 ","Enamine","C1CC2(C3=CC=CC=C31)C(=O)NC(=O)N2","","6252-98-8 ","",""
"VT00412","dimethyl-2H-1,3-dioxol-2-one","EN300-124927","Enamine","CC1=C(OC(=O)O1)C","","37830-90-3 ","",""
"VT00413","N,N-dimethyl-1H-pyrrole-2-carboxamide","EN300-318366 ","Enamine","CN(C)C(=O)C1=CC=CN1","","7126-47-8 ","",""
